blocco;codiceCatalogo;nomeRecord;categoria;famiglia;nomeFile;percorsoRelativoAssets;referenceImageUrlSuggerito;statoAsset;note
3;F_SOFT_PIXIE;Soft pixie;TAGLIO;PIXIE;soft_pixie.png;CATALOGO TECNICO/TAGLI/PIXIE/soft_pixie.png;/assets/CATALOGO TECNICO/TAGLI/PIXIE/soft_pixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_MICRO_PIXIE;Micro pixie;TAGLIO;PIXIE;micro_pixie.png;CATALOGO TECNICO/TAGLI/PIXIE/micro_pixie.png;/assets/CATALOGO TECNICO/TAGLI/PIXIE/micro_pixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_SHORT_PIXIE;Short pixie;TAGLIO;PIXIE;short_pixie.png;CATALOGO TECNICO/TAGLI/PIXIE/short_pixie.png;/assets/CATALOGO TECNICO/TAGLI/PIXIE/short_pixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_LONG_PIXIE;Long pixie;TAGLIO;PIXIE;long_pixie.png;CATALOGO TECNICO/TAGLI/PIXIE/long_pixie.png;/assets/CATALOGO TECNICO/TAGLI/PIXIE/long_pixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_LAYERED_PIXIE;Layered pixie;TAGLIO;PIXIE;layered_pixie.png;CATALOGO TECNICO/TAGLI/PIXIE/layered_pixie.png;/assets/CATALOGO TECNICO/TAGLI/PIXIE/layered_pixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_GRADUATED_PIXIE;Graduated pixie;TAGLIO;PIXIE;graduated_pixie.png;CATALOGO TECNICO/TAGLI/PIXIE/graduated_pixie.png;/assets/CATALOGO TECNICO/TAGLI/PIXIE/graduated_pixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_TEXTURED_PIXIE;Textured pixie;TAGLIO;PIXIE;textured_pixie.png;CATALOGO TECNICO/TAGLI/PIXIE/textured_pixie.png;/assets/CATALOGO TECNICO/TAGLI/PIXIE/textured_pixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_CHOPPY_PIXIE;Choppy pixie;TAGLIO;PIXIE;choppy_pixie.png;CATALOGO TECNICO/TAGLI/PIXIE/choppy_pixie.png;/assets/CATALOGO TECNICO/TAGLI/PIXIE/choppy_pixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_FEATHERED_PIXIE;Feathered pixie;TAGLIO;PIXIE;feathered_pixie.png;CATALOGO TECNICO/TAGLI/PIXIE/feathered_pixie.png;/assets/CATALOGO TECNICO/TAGLI/PIXIE/feathered_pixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_PIECEY_PIXIE;Piecey pixie;TAGLIO;PIXIE;piecey_pixie.png;CATALOGO TECNICO/TAGLI/PIXIE/piecey_pixie.png;/assets/CATALOGO TECNICO/TAGLI/PIXIE/piecey_pixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_SLEEK_PIXIE;Sleek pixie;TAGLIO;PIXIE;sleek_pixie.png;CATALOGO TECNICO/TAGLI/PIXIE/sleek_pixie.png;/assets/CATALOGO TECNICO/TAGLI/PIXIE/sleek_pixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
